option_value_id,option_id,image,sort_order
23,2,data/journal2/colors/1.png,1
24,2,data/journal2/colors/10.png,2
31,1,no_image.jpg,2
32,1,no_image.jpg,1
39,5,,1
40,5,,2
41,5,,3
42,5,,4
43,1,no_image.jpg,3
44,2,data/journal2/colors/4.png,3
45,2,data/journal2/colors/7.png,4
46,11,no_image.jpg,1
47,11,no_image.jpg,2
48,11,no_image.jpg,3
49,2,data/journal2/colors/2.png,0
50,2,data/journal2/colors/6.png,0
51,2,data/journal2/colors/8.png,0
52,2,data/journal2/colors/5.png,0
53,2,data/journal2/colors/9.png,0
54,2,data/journal2/colors/12.png,0
55,2,data/journal2/colors/11.png,0
56,2,data/journal2/colors/3.png,0
57,2,data/journal2/colors/14.png,0
58,2,data/journal2/colors/13.png,0
59,11,no_image.jpg,0
60,11,no_image.jpg,0
61,11,no_image.jpg,0
62,13,,14
63,13,,20
64,13,,21
65,14,,0
66,14,,0
67,14,,0
68,289,,3
69,289,,7
70,289,,9
71,361,,1
72,361,,2
73,361,,3
74,361,,4
75,361,,5
76,361,,6
77,361,,7
78,361,,8
79,361,,9
85,362,,1
86,362,,2
87,362,,3
88,362,,4
89,362,,5
90,362,,6
91,362,,7
92,362,,8
93,484,,0
94,484,,0
95,780,,1
96,780,,2
97,780,,3
98,780,,4
99,780,,5
100,780,,6
101,813,,0
102,813,,0
103,825,,0
104,955,,0
105,955,,0
106,955,,0
107,955,,0
110,955,,0
111,955,,0
112,955,,0
113,955,,0
114,955,,0
115,955,,0
116,955,,0
117,955,,0
118,1085,,0
119,1085,,0
120,1135,,1
121,1135,,0
122,955,,0
123,955,,0
124,955,,0
125,1085,,0
126,1085,,0
127,1085,,0
128,1085,,0
129,1085,,0
132,1085,,0
133,1085,,0
134,955,,0
135,780,,0
136,1085,,0
137,1085,,0
138,955,,0
139,955,,0
140,955,,0
141,955,,0
142,1227,,0
143,1227,,0
144,1227,,0
145,1227,,0
146,1227,,0
147,1229,,1
148,1229,,0
150,955,,0
151,289,,8
152,289,,9
153,13,,24
154,13,,25
155,13,,12
156,1419,,0
157,1419,,0
159,1466,,0
160,1466,,0
161,1467,,1
162,1467,,2
163,1476,,1
164,1476,,2
165,1477,,0
166,1477,,1
171,1485,,0
172,1485,,0
173,1505,,0
174,1505,,0
175,1541,,0
178,1639,,0
179,361,,0
180,362,,9
181,1651,,0
182,1651,,0
183,1484,,0
184,1484,,0
185,1810,,0
186,1810,,0
187,1810,,0
188,1810,,0
189,1810,,0
190,1849,,1
191,1849,,5
192,1860,,2
193,1860,,1
194,1930,,0
195,1930,,0
196,1860,,3
197,13,,16
198,289,,4
199,1935,,0
200,1935,,0
201,13,,13
202,289,,2
203,289,,1
204,13,,9
205,13,,11
206,1849,,2
207,1849,,3
208,13,,8
209,13,,10
210,1085,,0
211,1085,,0
212,1983,,0
213,1983,,0
214,955,,0
215,1484,,0
216,1484,,0
217,1484,,0
218,1484,,0
219,13,,17
220,289,,5
221,1485,,0
222,1485,,0
226,1085,,0
227,1085,,0
228,1085,,0
229,955,,0
230,955,,0
231,955,,0
232,2263,,0
233,2263,,0
234,2263,,0
235,955,,0
236,955,,0
237,2277,,0
238,2277,,0
239,2293,,0
240,2293,,0
241,2294,,0
242,2294,,0
243,13,,4
244,13,,5
245,13,,6
246,13,,7
247,2298,catalog/fontname/Screenshot_4.jpg,1
248,2298,catalog/1000clau.jpg,2
249,2298,catalog/review/Screenshot_2.jpg,3
250,2298,catalog/review/Screenshot_3.jpg,4
251,1849,,4
253,955,,0
254,955,,0
255,955,,0
256,955,,0
257,2371,,0
258,2372,,0
259,2373,,0
260,2374,,0
261,2375,,1
262,2375,,2
263,2375,,3
264,2375,,4
265,2375,,5
266,2375,,6
267,2375,,7
268,2375,,8
269,2375,,9
270,2375,,10
271,2375,,11
272,2375,,12
273,2375,,13
274,2375,,14
275,2375,,15
276,2375,,16
277,2375,,17
278,2375,,18
279,2375,,19
280,2375,,20
281,2375,,21
282,2375,,22
283,2375,,23
284,2375,,24
285,2375,,25
286,2375,,26
287,2382,,0
288,2382,,1
289,2383,,0
290,2383,,1
291,2384,,0
292,2384,,0
293,2382,,0
294,2387,,0
295,2387,,0
296,2391,,0
297,2391,,0
298,2396,,2
299,2396,,1
300,2416,,1
301,2417,,0
302,2416,,2
303,2417,,0
304,2490,,0
305,2490,,0
306,2491,,0
307,2491,,0
308,2492,,1
309,2492,,2
310,2492,,3
311,2492,,4
312,289,,6
313,289,,10
316,13,,18
317,13,,23
319,13,,26
320,13,,27
321,289,,11
322,13,,15
323,13,,22
324,13,,2
325,13,,3
326,955,,0
327,955,,0
328,955,,0
329,13,,19
330,2528,,0
331,2528,,0
332,2528,,0
333,2528,,0
334,13,,28
335,2581,,0
336,2582,,0
337,2583,,0
338,2583,,0
339,2641,,0
340,2641,,0
341,2655,,0
342,2655,,0
343,2655,,0
344,2655,,0
345,2656,,0
346,2656,,0
347,2656,,0
348,2656,,0
349,2659,,0
350,2659,,1
351,2659,,2
352,2659,,3
353,2660,,0
354,2660,,1
355,2660,,2
356,2660,,3
357,2660,,4
358,2660,,5
359,2660,,6
360,2660,,7
361,2662,,0
362,2662,,0
363,2662,,0
364,2662,,0
365,2662,,0
366,2663,,0
367,2663,,0
368,2664,,0
369,2664,,0
370,955,,0
371,955,,0
372,955,,0
373,2688,,0
374,2688,,1
375,1227,,0
376,1227,,0
377,955,,0
378,955,,0
379,955,,0
380,955,,0
381,2693,,0
382,2693,,0
383,2694,,0
384,2694,,0
385,1085,,0
386,1085,,0
387,1849,,0
388,1849,,0
389,2700,,0
390,2700,,0
391,2701,,0
392,2701,,1
393,2702,,0
394,2702,,0
395,2704,,1
396,2704,,2
397,2705,,0
398,2705,,0
399,2706,,0
400,2706,,1
401,2383,,2
402,955,,0
403,955,,0
404,13,,29
405,13,,30
406,2383,,3
407,2383,,4
408,2383,,5
409,2383,,6
410,2767,,5
411,2767,,3
412,2767,,2
413,2767,,1
414,2767,,0
415,2383,,7
416,2383,,8
417,2767,,6
418,2767,,4
419,2767,,7
420,2767,,10
421,2767,,11
422,2767,,8
423,2767,,9
424,955,,0
425,13,,1
435,2701,,2
436,2701,,3
437,2701,,4
438,2701,,5
439,2701,,6
440,2701,,7
441,2701,,8
442,2701,,9
443,2701,,10
444,2701,,0
445,2701,,0
446,2701,,11
447,2701,,12
448,1477,,2
449,1477,,3
450,1477,,4
469,1477,,5
470,1477,,6
471,1477,,7
472,1477,,8
473,1477,,9
474,1477,,10
475,1477,,11
476,1477,,12
477,1477,,13
478,1477,,15
479,1477,,16
480,1477,,17
481,1477,,18
482,1477,,19
483,1477,,20
484,1477,,21
485,1477,,22
486,1477,,23
487,1477,,23
488,1477,,14
489,2383,,4
490,2383,,2
491,2383,,8
492,2383,,9
493,2383,,12
494,2383,,0
495,1477,,0
496,1477,,0
497,2383,,19
498,2383,,20
499,2383,,0
500,2383,,0
501,2383,,2
502,2383,,1
503,2383,,6
504,2383,,7
505,2383,,0
506,2383,,3
507,1606,,0
508,1606,,0
509,17,,0
510,17,,0
511,2383,,0
512,2383,,5
513,2383,,11
514,2383,,10
515,2809,,1
516,2809,,2
517,2809,,3
518,2809,,4
519,2809,,5
520,2809,,6
521,2809,,7
522,2809,,8
523,2809,,9
524,2809,,10
525,2809,,11
526,2809,,12
527,2810,,0
528,2810,,1
529,2810,,2
530,2810,,3
531,2810,,4
532,2810,,5
533,2810,,6
534,2810,,7
535,2810,,8
536,2810,,9
537,2810,,10
538,2810,,11
539,2810,,12
540,2810,,13
541,2810,,14
542,2810,,15
543,2810,,16
544,2810,,17
545,2810,,18
546,2810,,19
547,2810,,20
548,2810,,21
549,2810,,22
550,2810,,23
551,2810,,24
552,2810,,25
553,2810,,26
554,2810,,27
555,2810,,28
556,2810,,29
557,2810,,30
558,2810,,31
559,2810,,32
560,2810,,33
561,2810,,34
562,2810,,35
563,2810,,36
564,2810,,37
565,2810,,38
566,2810,,39
567,2810,,40
568,2810,,41
569,2810,,42
570,2810,,43
571,2810,,44
572,2810,,45
573,2810,,46
574,2810,,47
575,2810,,48
576,2810,,49
577,2810,,50
578,2810,,51
579,2810,,52
580,2810,,53
581,2810,,54
582,2810,,55
583,2810,,56
584,2810,,57
585,2810,,58
586,2810,,59
587,2810,,60
588,2810,,61
589,2810,,62
590,2810,,63
591,2810,,64
592,2810,,65
593,2810,,66
594,2810,,67
595,2810,,68
596,2810,,69
597,2810,,70
598,2810,,71
599,2810,,72
600,2810,,73
601,2810,,74
602,2810,,75
603,2810,,76
604,2810,,77
605,2810,,78
606,2810,,79
607,2810,,80
608,2810,,81
609,2810,,82
610,2811,,1
611,2811,,2
612,2811,,3
613,2811,,4
614,2811,,5
615,2811,,6
616,2811,,7
617,2811,,8
618,2811,,9
619,2811,,10
620,2811,,11
621,2811,,12
622,2811,,13
623,2811,,14
624,2811,,15
625,2811,,16
626,2811,,17
627,2811,,18
628,2811,,19
629,2811,,20
630,2811,,21
631,2811,,22
632,2811,,23
633,2811,,24
634,2811,,25
635,2811,,26
636,2811,,27
637,2811,,28
638,2811,,29
639,2811,,30
640,2811,,31
641,2811,,32
642,2811,,33
643,2811,,34
644,2811,,35
645,2811,,36
646,2811,,37
647,2811,,38
648,2811,,39
649,2811,,40
650,2811,,41
651,2811,,42
652,2811,,43
653,2812,,0
654,2812,,1
655,2812,,2
656,2813,,0
657,2813,,1
658,2813,,2
659,2813,,3
660,2383,,21
661,13,,0
662,13,,0
663,13,,0
664,13,,0
665,2815,,0
666,13,,0
667,13,,0
668,1227,,0
669,2659,,4
670,2659,,5
671,2659,,6
672,13,,31
673,13,,32
674,13,,33
675,13,,34
676,2659,,7
677,2820,,0
678,2820,,1
679,2659,,9
680,2659,,10
681,2659,,1
682,2659,,12
683,2659,,13
684,2659,,14
685,2659,,15
686,2659,,17
687,2659,,16
688,2659,,18
689,2659,,19
690,2659,,8
691,2659,,20
692,2659,,21
693,1810,,0
694,1810,,0
695,955,,0
696,2383,,22
697,2821,,1
698,2821,,2
709,2822,,1
710,2822,,2
711,2822,,3
712,2822,,4
713,2822,,5
714,2822,,6
715,2822,,7
716,2822,,8
717,2822,,9
718,2822,,10
719,2822,,11
720,2822,,12
721,2823,,1
722,2823,,2
723,2823,,3
724,2823,,4
725,2823,,5
726,2823,,6
727,2823,,7
728,2823,,8
729,2823,,9
730,2823,,10
731,2823,,11
732,2823,,12
733,2811,,1
734,2811,,2
735,2811,,3
736,2811,,4
737,2811,,5
738,2824,,0
739,2824,,1
740,2824,,2
741,2823,,1
742,2823,,2
743,2823,,4
744,2823,,5
745,2383,,23
746,2383,,24
747,1810,,0
748,1810,,0
749,2823,,9
750,2836,,1
751,2836,,2
752,2836,,3
753,2837,,0
754,2837,,3
755,2837,,6
756,2837,,9
757,2837,,12
758,2837,,15
759,2837,,18
760,2837,,21
761,2837,,24
762,2837,,27
763,2837,,30
764,2837,,33
765,2837,,36
766,2837,,39
767,2837,,42
768,2837,,45
769,2837,,48
770,2837,,51
771,2837,,54
772,2837,,57
773,2837,,60
774,2837,,63
775,2837,,66
776,2837,,69
777,2837,,72
778,2837,,1
779,2837,,4
780,2837,,7
781,2837,,10
782,2837,,13
783,2837,,16
784,2837,,19
785,2837,,22
786,2837,,25
787,2837,,28
788,2837,,31
789,2837,,34
790,2837,,37
791,2837,,40
792,2837,,43
793,2837,,46
794,2837,,49
795,2837,,52
796,2837,,55
797,2837,,58
798,2837,,61
799,2837,,64
800,2837,,67
801,2837,,70
802,2837,,73
803,2837,,2
804,2837,,5
805,2837,,8
806,2837,,11
807,2837,,14
808,2837,,17
809,2837,,20
811,2837,,23
812,2837,,26
813,2837,,29
814,2837,,32
815,2837,,35
816,2837,,38
817,2837,,41
818,2837,,44
819,2837,,47
820,2837,,50
821,2837,,53
822,2837,,56
823,2837,,59
824,2837,,62
825,2837,,65
826,2837,,68
827,2837,,71
828,2837,,74
829,2838,,0
830,2838,,6
831,2838,,3
832,2838,,9
833,2838,,15
834,2838,,12
835,2838,,18
836,2838,,21
837,2838,,24
838,2838,,27
839,2838,,30
840,2838,,1
841,2838,,7
842,2838,,4
843,2838,,10
844,2838,,16
845,2838,,13
846,2838,,19
847,2838,,22
848,2838,,25
849,2838,,28
850,2838,,31
851,2838,,2
852,2838,,8
853,2838,,5
854,2838,,11
855,2838,,17
856,2838,,14
857,2838,,20
858,2838,,23
859,2838,,26
860,2838,,29
861,2838,,32
862,2383,,25
863,2383,,26
864,2842,,0
865,2842,,1
866,2842,,2
867,2842,,3
868,2842,,4
869,2842,,5
870,2842,,6
871,2842,,7
872,2842,,8
873,2842,,9
874,2842,,10
875,2842,,11
876,2842,,12
877,2842,,13
878,2842,,14
879,2842,,15
880,2706,,2
881,2701,,13
882,2701,,14
883,2701,,15
884,2823,,13
885,2823,,14
886,2823,,15
887,2823,,16
888,2823,,17
889,2823,,18
890,2823,,19
891,2823,,20
892,2823,,21
893,2823,,22
894,2823,,23
895,2823,,24
896,2823,,25
897,2823,,26
898,2823,,27
899,2823,,28
900,2823,,29
901,2823,,30
902,2823,,31
903,2823,,32
904,2823,,33
905,2823,,34
906,2823,,35
907,2823,,36
908,2823,,37
909,2860,,1
910,2860,,2
911,2860,,3
912,2860,,4
913,2860,,5
914,2861,,1
915,2861,,2
916,2861,,3
917,2864,,0
918,2864,,1
919,2864,,2
920,2864,,3
921,2864,,4
922,2864,,5
923,2864,,6
924,2864,,7
925,2864,,8
926,2864,,9
927,2864,,10
928,2864,,11
929,1477,,24
930,1477,,25
931,2865,,1
932,2865,,2
933,2865,,3
934,2866,,1
935,2866,,2
936,2866,,3
937,2866,,4
938,2866,,5
939,2889,,0
940,2889,,1
941,2889,,2
942,2889,,3
943,2890,,0
944,2890,,1
945,2911,,0
946,2911,,1
947,2911,,2
948,2911,,3
949,2911,,4
950,2911,,5
951,2945,,1
952,2945,,2
953,2945,,3
954,2945,,4
955,2945,,5
956,2946,,1
957,2946,,2
958,2946,,3
959,2945,,0
960,2950,,0
961,2950,,1
962,2950,,2
963,2951,,0
964,2951,,1
965,2836,,0
966,2952,,0
967,2952,,1
968,2954,,0
969,2954,,1
970,2955,,0
971,2955,,1
